POA,Population (2006),Population (2011),Population (2016),Population (2021)
3304,1296.0,1190.0,1372.0,1383.0
3305,5670.0,6027.0,6316.0,6506.0
3309,,110.0,61.0,63.0
3310,211.0,196.0,141.0,161.0
3311,809.0,869.0,938.0,961.0
3312,617.0,472.0,538.0,539.0
3314,344.0,348.0,256.0,284.0
3315,894.0,881.0,871.0,903.0
3317,50.0,193.0,109.0,110.0
3318,786.0,560.0,731.0,725.0
3319,168.0,178.0,219.0,230.0
3321,485.0,460.0,578.0,635.0
3322,63.0,,92.0,101.0
3323,58.0,,56.0,57.0
3324,405.0,342.0,316.0,330.0
3325,367.0,314.0,265.0,273.0
3328,507.0,528.0,613.0,758.0
3329,,135.0,131.0,137.0
3330,126.0,215.0,101.0,113.0
3331,1196.0,1485.0,2106.0,2470.0
3332,308.0,341.0,374.0,424.0
3333,215.0,308.0,349.0,383.0
3334,211.0,240.0,262.0,280.0
3335,603.0,716.0,2193.0,2375.0
3336,,,,5409.0
3337,9459.0,12207.0,13674.0,15237.0
3338,4589.0,6338.0,8852.0,12917.0
3340,6052.0,7058.0,8320.0,10131.0
3341,530.0,622.0,640.0,635.0
3342,1504.0,1352.0,1505.0,1760.0
3345,437.0,522.0,475.0,576.0
3350,21949.0,23889.0,26787.0,29657.0
3351,2790.0,3273.0,3356.0,3718.0
3352,5324.0,5827.0,6256.0,7352.0
3355,5407.0,5914.0,6180.0,6315.0
3356,5249.0,6262.0,7345.0,7226.0
3357,887.0,1239.0,1412.0,1522.0
3358,,,,1253.0
3360,270.0,436.0,416.0,434.0
3361,332.0,475.0,357.0,373.0
3363,1303.0,1462.0,1598.0,1698.0
3364,780.0,950.0,999.0,1062.0
3370,790.0,878.0,929.0,1054.0
3371,627.0,610.0,585.0,668.0
3373,975.0,973.0,1166.0,1296.0
3374,,274.0,190.0,220.0
3375,90.0,129.0,95.0,100.0
3377,4181.0,3856.0,4240.0,4317.0
3378,,159.0,60.0,57.0
3379,463.0,315.0,418.0,423.0
3380,2767.0,2914.0,2967.0,3058.0
3381,1416.0,890.0,944.0,952.0
3384,267.0,445.0,299.0,300.0
3385,,282.0,262.0,276.0
3387,107.0,167.0,173.0,141.0
3388,290.0,277.0,277.0,296.0
3390,504.0,485.0,494.0,501.0
3391,69.0,130.0,88.0,85.0
3392,238.0,343.0,313.0,324.0
3393,1385.0,1353.0,1370.0,1402.0
3395,234.0,340.0,219.0,193.0
3396,300.0,308.0,391.0,399.0
3400,6155.0,6696.0,7033.0,7306.0
3401,1928.0,1989.0,1852.0,1972.0
3407,277.0,196.0,220.0,241.0
3409,522.0,540.0,501.0,521.0
3412,134.0,128.0,162.0,163.0
3413,53.0,131.0,132.0,117.0
3414,884.0,906.0,922.0,986.0
3415,,,18.0,20.0
3418,1426.0,1363.0,1426.0,1404.0
3419,493.0,516.0,431.0,478.0
3420,193.0,166.0,155.0,136.0
3423,337.0,364.0,308.0,334.0
3424,499.0,423.0,451.0,466.0
3427,888.0,939.0,1154.0,2300.0
3428,128.0,246.0,248.0,254.0
3429,11618.0,12969.0,14000.0,15413.0
3430,,185.0,126.0,125.0
3431,1015.0,1360.0,1457.0,1655.0
3432,,,82.0,78.0
3433,,106.0,77.0,77.0
3434,1852.0,1682.0,1944.0,2370.0
3435,956.0,1163.0,1228.0,1350.0
3437,2811.0,3258.0,3920.0,4308.0
3438,592.0,799.0,847.0,879.0
3440,720.0,775.0,795.0,789.0
3441,720.0,625.0,621.0,645.0
3442,2792.0,3103.0,3116.0,3598.0
3444,3826.0,4005.0,4295.0,4657.0
3446,252.0,270.0,497.0,520.0
3447,109.0,263.0,247.0,256.0
3448,337.0,335.0,444.0,491.0
3450,3358.0,3429.0,3587.0,3723.0
3451,2012.0,2144.0,2408.0,2768.0
3453,504.0,686.0,730.0,817.0
3458,793.0,1066.0,1211.0,1395.0
3460,1450.0,1831.0,1897.0,1996.0
3461,2445.0,2407.0,2617.0,2875.0
3462,588.0,559.0,626.0,689.0
3463,1299.0,1530.0,1414.0,1479.0
3464,313.0,499.0,499.0,511.0
3465,4552.0,4263.0,4853.0,5138.0
3467,638.0,669.0,632.0,678.0
3468,245.0,135.0,160.0,168.0
3469,149.0,250.0,157.0,165.0
3472,542.0,863.0,895.0,881.0
3475,296.0,209.0,243.0,283.0
3477,,232.0,455.0,455.0
3478,1892.0,1579.0,1378.0,1466.0
3480,848.0,812.0,899.0,911.0
3482,93.0,218.0,104.0,119.0
3483,493.0,347.0,447.0,480.0
3485,154.0,109.0,200.0,189.0
3487,61.0,,49.0,51.0
3488,,,63.0,56.0
3489,,,41.0,34.0
3490,708.0,576.0,731.0,700.0
3491,230.0,235.0,71.0,80.0
3494,201.0,343.0,351.0,342.0
3496,2440.0,2541.0,2742.0,2832.0
